,pib,renda,renda_per_capita,indice_consumidor,indice_produtor,taxa_cambio,taxa_desemprego,taxa_emprego,populacao_economicamente_ativa,rendimento_medio_trabalhadores,exportacoes,importacoes,saldo_comercial,cobertura_comercial,divida_publica,despesa_fiscal,taxa_alfabetizacao,taxa_matricula_educacao,gastos_educacao,inflacao
2030-01-24,390566561752.671,383198942651.176,2760,0.0500334876739342,0.0500334876739342,0.00195302352248811,6.42,59.646,65276714,7.1,10.8683116605935,8.38506312730241,2.483248533291091,2.48324853329106,,,,,,951.962053052818
2030-01-25,558233724160.742,540518512988.876,2980,69.8241962003048,69.8241962003048,3.07747511847801,11.17,58.053,85732532,6.2,15.1807837086861,12.9596010144732,2.2211826942128994,2.22118269421297,,,,94.29506,,14.7149197228147
2030-01-26,863711007338.683,845870879407.158,4920,46.8008952735922,46.8008952735922,1.16051666666667,10.15,56.923,74794611,5.8,7.03050033871807,9.40808459248784,-2.377584253769771,-2.37758425376977,,,,,4.75665998458862,3.19507629280056
2030-01-27,863711007338.683,845870879407.158,4920,46.8008952735922,46.8008952735922,1.16051666666667,10.15,56.923,74794611,5.8,7.03050033871807,9.40808459248784,-2.377584253769771,-2.37758425376977,,,,,4.75665998458862,3.19507629280056
2030-01-28,558233724160.742,540518512988.876,2980,69.8241962003048,69.8241962003048,3.07747511847801,11.17,58.053,85732532,6.2,15.1807837086861,12.9596010144732,2.2211826942128994,2.22118269421297,,,,94.29506,,14.7149197228147
2030-01-29,599642075039.049,581160970755.97,4190,49.0746921995342,49.0746921995342,1.81393284657213,11.13,56.853,77242077,6.0,9.5648982609794,11.4172682172491,-1.8523699562697011,-1.85236995626965,,,,98.07272,3.80062007904053,4.85844749902668
2030-01-30,2456043766063.5,2410277002821.39,12080,126.927212865611,126.927212865611,2.35295196276669,6.76,59.217,99628945,7.7,11.0119428225147,13.6734629958056,-2.661520173290901,-2.66152017329091,58.4572711058609,32.0693994463665,91.7294311523438,97.4362,5.94848012924194,6.32904015516142
2030-01-31,2465228293862.62,2403719887800.63,12270,112.398549260784,112.398549260784,1.95306861112487,7.25,59.165,97188186,7.4,11.8775390673678,13.2367345454394,-1.3591954780715998,-1.3591954780716,59.8494899958247,30.7940989613241,91.3378524780273,98.54993,5.85510015487671,5.40349914037009
2030-02-01,559983704075.658,541802025589.408,3330,56.1249316036127,56.1249316036127,2.34963170932244,10.65,57.741,81451849,6.0,12.37171066993,14.564574352134,-2.192863682204001,-2.19286368220403,,,,98.85493,3.84468007087708,6.84035902487525
2030-02-02,1873288159000.64,1822994351083.46,9220,167.397860280061,167.397860280061,3.9444710972507,12.05,56.569,107415119,7.3,14.1229191903622,14.7673386789326,-0.6444194885703993,-0.644419488570441,92.5652531882782,34.7874528376371,,,5.96346998214722,3.73297621216894
2030-02-03,655448188246.11,636572488751.932,3910,52.5315827425714,52.5315827425714,1.82942312207561,10.53,57.528,79347235,,10.1880480043795,12.4517133524146,-2.2636653480351008,-2.26366534803512,,,86.3678817749023,,3.94893002510071,7.04414105947266
2030-02-04,509795270707.268,492692609464.012,3080,60.8675805806435,60.8675805806435,2.92036301775519,10.64,58.525,84252471,6.1,14.2305902713775,13.3877671308534,0.8428231405241,0.842823140524155,,,,96.72741,3.75037002563477,8.4501643770833
2030-02-05,850426432991.742,839052100885.484,4440,42.4139744020249,42.4139744020249,1.0051,8.03,57.309,70221615,5.7,6.73020968312685,8.90538179274132,-2.1751721096144703,-2.17517210961447,,,,,,15.7576656002606
2030-02-06,558233724160.742,540518512988.876,2980,69.8241962003048,69.8241962003048,3.07747511847801,11.17,58.053,85732532,6.2,15.1807837086861,12.9596010144732,2.2211826942128994,2.22118269421297,,,,94.29506,,14.7149197228147
2030-02-07,891633826582.606,865859652943.151,3980,79.5436673306746,79.5436673306746,2.43439003623188,10.55,59.541,90599379,6.5,15.2438292672646,11.8429659475288,3.4008633197358,3.4008633197358,,,,96.07993,4.47908020019531,6.86953720898965
2030-02-08,891633826582.606,865859652943.151,3980,79.5436673306746,79.5436673306746,2.43439003623188,10.55,59.541,90599379,6.5,15.2438292672646,11.8429659475288,3.4008633197358,3.4008633197358,,,,96.07993,4.47908020019531,6.86953720898965
2030-02-09,599642075039.049,581160970755.97,4190,49.0746921995342,49.0746921995342,1.81393284657213,11.13,56.853,77242077,6.0,9.5648982609794,11.4172682172491,-1.8523699562697011,-1.85236995626965,,,,98.07272,3.80062007904053,4.85844749902668
2030-02-10,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2030-02-11,407729053018.907,398591907568.412,2810,0.00475620651227255,0.00475620651227255,0.000175961443086024,6.366,59.579,63620325,,8.67763659887868,7.91444116378595,0.7631954350927295,0.763195435092725,,,,,,432.786661926461
2030-02-12,2456043766063.5,2410277002821.39,12080,126.927212865611,126.927212865611,2.35295196276669,6.76,59.217,99628945,7.7,11.0119428225147,13.6734629958056,-2.661520173290901,-2.66152017329091,58.4572711058609,32.0693994463665,91.7294311523438,97.4362,5.94848012924194,6.32904015516142
2030-02-13,1476107292036.59,1445311287350.09,7910,172.774291252888,172.774291252888,5.15517878751281,13.93,51.324,100641930,8.7,16.4535520041337,15.8485265369506,0.6050254671831024,0.605025467183085,98.7098819546545,38.4811610303133,,,,3.21176803803379
2030-02-14,1916933708404.16,1863630803630.87,9140,161.373814183906,161.373814183906,3.65382536145755,12.46,55.903,105437485,7.3,14.6349994952986,14.241203879248,0.39379561605059976,0.393795616050562,86.6078841199146,35.453999893748,93.2275009155273,,6.08851003646851,3.66485028376724
2030-02-15,546229749726.263,525237512904.74,2960,22.0715442934335,22.0715442934335,0.664683514070577,6.47,59.817,68722270,,9.51307642702004,9.16168336908223,0.35139305793781084,0.351393057937806,,,,,,2075.88839757325
2030-02-16,655448188246.11,636572488751.932,3910,52.5315827425714,52.5315827425714,1.82942312207561,10.53,57.528,79347235,,10.1880480043795,12.4517133524146,-2.2636653480351008,-2.26366534803512,,,86.3678817749023,,3.94893002510071,7.04414105947266
2030-02-17,1695855391816.48,1654272376329.23,7590,90.7662937251917,90.7662937251917,1.83376666666667,8.27,60.196,93935308,7.1,13.5340005124035,13.7235689072917,-0.18956839488819988,-0.189568394888169,,,90.03662109375,98.53831,5.26883983612061,5.67859390284171
2030-02-18,1795693265824.27,1757596906019.34,8890,150.482594206408,150.482594206408,3.49131342157271,11.74,56.027,102278733,7.4,12.4666790443888,12.0670030360511,0.3996760083376998,0.399676008337736,73.4188038096758,36.4916011293298,92.8084411621094,97.20202,6.314040184021,8.73914352329393
2030-02-19,559983704075.658,541802025589.408,3330,56.1249316036127,56.1249316036127,2.34963170932244,10.65,57.741,81451849,6.0,12.37171066993,14.564574352134,-2.192863682204001,-2.19286368220403,,,,98.85493,3.84468007087708,6.84035902487525
2030-02-20,850426432991.742,839052100885.484,4440,42.4139744020249,42.4139744020249,1.0051,8.03,57.309,70221615,5.7,6.73020968312685,8.90538179274132,-2.1751721096144703,-2.17517210961447,,,,,,15.7576656002606
2030-02-21,1666996294324.76,1630109870650.92,8300,95.2029817480311,95.2029817480311,1.99942817314426,9.42,59.604,95703669,7.2,10.851371134098,11.2546044676086,-0.40323333351059887,-0.403233333510611,,,90.298210144043,96.58508,5.46355009078979,4.88803479876804
2030-02-22,559983704075.658,541802025589.408,3330,56.1249316036127,56.1249316036127,2.34963170932244,10.65,57.741,81451849,6.0,12.37171066993,14.564574352134,-2.192863682204001,-2.19286368220403,,,,98.85493,3.84468007087708,6.84035902487525
2030-02-23,1476107292036.59,1445311287350.09,7910,172.774291252888,172.774291252888,5.15517878751281,13.93,51.324,100641930,8.7,16.4535520041337,15.8485265369506,0.6050254671831024,0.605025467183085,98.7098819546545,38.4811610303133,,,,3.21176803803379
2030-02-24,1107626711436.44,1079909686943.57,4830,82.8714308457339,82.8714308457339,2.17532666666667,9.69,59.815,91731711,6.7,14.3743163003006,11.6673835850045,2.7069327152961016,2.70693271529605,,,89.6152267456055,,4.87060022354126,4.18356812896902
2030-02-25,1795693265824.27,1757596906019.34,8890,150.482594206408,150.482594206408,3.49131342157271,11.74,56.027,102278733,7.4,12.4666790443888,12.0670030360511,0.3996760083376998,0.399676008337736,73.4188038096758,36.4916011293298,92.8084411621094,97.20202,6.314040184021,8.73914352329393
2030-02-26,2456043766063.5,2410277002821.39,12080,126.927212865611,126.927212865611,2.35295196276669,6.76,59.217,99628945,7.7,11.0119428225147,13.6734629958056,-2.661520173290901,-2.66152017329091,58.4572711058609,32.0693994463665,91.7294311523438,97.4362,5.94848012924194,6.32904015516142
2030-02-27,1802211999555.59,1768299908819.13,10160,138.388614560103,138.388614560103,3.32690438276879,8.56,58.247,101299233,7.7,12.9001914177405,14.0534345182709,-1.1532431005303998,-1.15324310053042,67.5375540277116,36.924419825549,92.0478973388672,96.85231,6.24105978012085,9.02990102416129
2030-02-28,850426432991.742,839052100885.484,4440,42.4139744020249,42.4139744020249,1.0051,8.03,57.309,70221615,5.7,6.73020968312685,8.90538179274132,-2.1751721096144703,-2.17517210961447,,,,,,15.7576656002606
2030-03-01,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2030-03-02,863711007338.683,845870879407.158,4920,46.8008952735922,46.8008952735922,1.16051666666667,10.15,56.923,74794611,5.8,7.03050033871807,9.40808459248784,-2.377584253769771,-2.37758425376977,,,,,4.75665998458862,3.19507629280056
2030-03-03,1666996294324.76,1630109870650.92,8300,95.2029817480311,95.2029817480311,1.99942817314426,9.42,59.604,95703669,7.2,10.851371134098,11.2546044676086,-0.40323333351059887,-0.403233333510611,,,90.298210144043,96.58508,5.46355009078979,4.88803479876804
2030-03-04,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2030-03-05,599642075039.049,581160970755.97,4190,49.0746921995342,49.0746921995342,1.81393284657213,11.13,56.853,77242077,6.0,9.5648982609794,11.4172682172491,-1.8523699562697011,-1.85236995626965,,,,98.07272,3.80062007904053,4.85844749902668
2030-03-06,1107626711436.44,1079909686943.57,4830,82.8714308457339,82.8714308457339,2.17532666666667,9.69,59.815,91731711,6.7,14.3743163003006,11.6673835850045,2.7069327152961016,2.70693271529605,,,89.6152267456055,,4.87060022354126,4.18356812896902
2030-03-07,407729053018.907,398591907568.412,2810,0.00475620651227255,0.00475620651227255,0.000175961443086024,6.366,59.579,63620325,,8.67763659887868,7.91444116378595,0.7631954350927295,0.763195435092725,,,,,,432.786661926461
2030-03-08,464989098144.854,452628375888.526,2590,0.00089270375032944,0.00089270375032944,2.95572678942699e-05,,,62129127,5.5,8.19723805886395,6.95836495806649,1.238873100797461,1.23887310079746,,,,,,2947.73277248299
2030-03-09,1795693265824.27,1757596906019.34,8890,150.482594206408,150.482594206408,3.49131342157271,11.74,56.027,102278733,7.4,12.4666790443888,12.0670030360511,0.3996760083376998,0.399676008337736,73.4188038096758,36.4916011293298,92.8084411621094,97.20202,6.314040184021,8.73914352329393
2030-03-10,390566561752.671,383198942651.176,2760,0.0500334876739342,0.0500334876739342,0.00195302352248811,6.42,59.646,65276714,7.1,10.8683116605935,8.38506312730241,2.483248533291091,2.48324853329106,,,,,,951.962053052818
